41,177,280
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',3
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',14
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',5
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',16
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',4
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',16
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-inf--0.533333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(3.333333-inf)\'',1
'\'(77.333333-inf)\'','\'(-inf--0.533333]\'',15
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',9
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',16
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(3.333333-inf)\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',3
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
